T,Va
177,0.49864126
178,0.4940350514
179,0.4914011737
180,0.4760260952
181,0.4876099842
182,0.4986915459
183,0.4953363635
184,0.4925367802
185,0.4913834862
186,0.4901344347
187,0.506650825
188,0.5115241601
189,0.5103404995
190,0.5048941568
191,0.5209403901
192,0.5109326326
193,0.5068495291
194,0.5153771039
195,0.5294087805
196,0.5304467282
197,0.5410164942
198,0.5395570045
199,0.5516177442
200,0.5739978554
201,0.5828184901
202,0.5896479023
203,0.5918345334
204,0.5952522596
205,0.5865421823
206,0.5894070046
207,0.5921903733
208,0.58952402
209,0.5938751153
210,0.6025823738
211,0.6112193918
212,0.6189978173
213,0.6144648761
214,0.6099984553
215,0.6145527392
216,0.6087674294
217,0.6212964994
218,0.6389759305
219,0.6278502833
220,0.6283522248
221,0.6438179147
222,0.6555457008
223,0.6507470164
224,0.6630189551
225,0.6668312409
226,0.6586944344
227,0.6587038714
228,0.6556830281
229,0.6607636162
230,0.6572515076
231,0.6636463888
232,0.6605653002
233,0.675800465
234,0.6812389515
235,0.6816209124
236,0.6875114572
237,0.6942738964
238,0.7101219625
239,0.7152094753
240,0.7286337181
241,0.7159021678
242,0.7303563247
243,0.7278839846
244,0.71554955
245,0.7154557222
246,0.721462859
247,0.7245988899
248,0.7231774831
249,0.718384547
250,0.7191027255
251,0.7230504581
252,0.7265621816
253,0.7287955874
254,0.7212888499
255,0.7211926274
256,0.7182700166
257,0.7169601803
258,0.7172133822
259,0.7203206522
260,0.7262090776
261,0.7267666727
262,0.7146235171
263,0.7139783984
264,0.7189539087
265,0.7024531587
266,0.7120565245
267,0.715388693
268,0.7154725473
269,0.7232601382
270,0.7130367546
271,0.7107713226
272,0.7071987678
273,0.7132299383
274,0.7210741694
275,0.7303145505
276,0.7182338937
277,0.7306438567
278,0.7257514062
279,0.7247344302
280,0.7321845769
281,0.7204555717
282,0.7240474763
283,0.7232755794
284,0.7225180227
285,0.711848118
286,0.7255871665
287,0.7196722391
288,0.7101980063
289,0.7184681621
290,0.7198228843
291,0.723068305
292,0.7212087583
293,0.7414848952
294,0.741636387
295,0.7426840276
296,0.7396903502
297,0.7412912282
298,0.738396979
299,0.7418650459
300,0.7337106904
301,0.7400072274
302,0.7500545157
303,0.7461016929
304,0.7417082471
305,0.7670831294
306,0.7494620184
307,0.7562913427
308,0.7491539398
309,0.7472511502
310,0.7523397135
311,0.7532244296
312,0.7587447247
313,0.7583723278
314,0.7653455029
315,0.7570105005
316,0.7455955334
317,0.7624300832
318,0.7583386635
319,0.750481492
320,0.7669840137
321,0.7643429896
322,0.7589324094
323,0.7597903324
324,0.7529350318
325,0.7590719153
326,0.7643542421
327,0.7624720053
328,0.7684717583
329,0.7640310423
330,0.7687086792
331,0.7650022795
332,0.7563449352
333,0.7638162755
334,0.7690959823
335,0.76377595
336,0.7659205836
337,0.7578212931
338,0.7521796233
339,0.7487460275
340,0.7574676946
341,0.7496292549
342,0.7613753353
343,0.7496160383
